study_accession	sample_accession	sample_title	sample_alias	run_accession	library_layout	read_count	submitted_bytes	fastq_bytes	fastq_ftp
PRJEB5224	SAMEA2338623	Stool sample from danish	MH0192	ERR414230	PAIRED	22536705	1522037121;1580720436	1589003946;1646878566	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414230/ERR414230_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414230/ERR414230_2.fastq.gz
PRJEB5224	SAMEA2338623	Stool sample from danish	MH0192	ERR414231	PAIRED	7836262	558008474;557687345	579301516;578840407	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414231/ERR414231_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414231/ERR414231_2.fastq.gz
PRJEB5224	SAMEA2338624	Stool sample from danish	MH0221	ERR414232	PAIRED	29643232	2137145333;2120086313	2221391811;2204167499	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414232/ERR414232_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414232/ERR414232_2.fastq.gz
PRJEB5224	SAMEA2338625	Stool sample from danish	MH0222	ERR414233	PAIRED	30705218	2252411077;2201204611	2339527609;2288110023	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414233/ERR414233_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414233/ERR414233_2.fastq.gz
PRJEB5224	SAMEA2338626	Stool sample from danish	MH0234	ERR414234	PAIRED	33203631	2365095844;2365537258	2460508862;2460325222	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414234/ERR414234_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414234/ERR414234_2.fastq.gz
PRJEB5224	SAMEA2338627	Stool sample from danish	MH0238	ERR414235	PAIRED	29690282	2100971563;2094414157	2184883796;2177882431	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414235/ERR414235_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414235/ERR414235_2.fastq.gz
PRJEB5224	SAMEA2338628	Stool sample from danish	MH0245	ERR414236	PAIRED	28867656	2103273044;2054750227	2184574010;2136106622	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414236/ERR414236_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414236/ERR414236_2.fastq.gz
PRJEB5224	SAMEA2338629	Stool sample from danish	MH0246	ERR414237	PAIRED	24513811	1624509760;1690356688	1697770930;1762858015	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414237/ERR414237_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414237/ERR414237_2.fastq.gz
PRJEB5224	SAMEA2338629	Stool sample from danish	MH0246	ERR414238	PAIRED	6250353	432255512;425942375	449507381;443118259	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414238/ERR414238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414238/ERR414238_2.fastq.gz
PRJEB5224	SAMEA2338630	Stool sample from danish	MH0252	ERR414239	PAIRED	32794311	2407990048;2378568217	2500977799;2471423997	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414239/ERR414239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414239/ERR414239_2.fastq.gz
PRJEB5224	SAMEA2338631	Stool sample from danish	MH0259	ERR414240	PAIRED	30689212	2114994356;2190162944	2206670488;2281072034	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414240/ERR414240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414240/ERR414240_2.fastq.gz
